guide_path,category,guide_slug,order,type,source_id,source_url,target_path,target_filename
guides/ru/adventure/Dimensional_Rift.md,adventure,dimensional_rift,1,gif,1131625306151723190,https://cdn.discordapp.com/attachments/1125731605156216932/1131625306151723190/Rift.gif?ex=69e26131&is=69e10fb1&hm=b99ba64bab2dd662ac8689dd3ff5d18120697cbadae00a1e480ec9169a81fe78&,assets/media/by-guide/adventure/dimensional_rift/001_gif_1131625306151723190.gif,001_gif_1131625306151723190.gif
guides/ru/adventure/Dimensional_Rift.md,adventure,dimensional_rift,2,image,1310934864048029797,https://cdn.discordapp.com/attachments/1125731605156216932/1310934864048029797/IMG_1277.png?ex=69e21dbb&is=69e0cc3b&hm=cc09bea5bfae31ed9bcd78465378bb17faa157232629db18ae81952ac0582a52&,assets/media/by-guide/adventure/dimensional_rift/002_image_1310934864048029797.png,002_image_1310934864048029797.png
guides/ru/adventure/Forest_of_Circulation.md,adventure,forest_of_circulation,1,video,1268278189826773074,https://cdn.discordapp.com/attachments/1125731269196656670/1268278189826773074/FoC_Run_Late_Game_-_Made_with_Clipchamp.mp4?ex=69e27f9b&is=69e12e1b&hm=15f2d0eb2493510c2b1a0667183b251d6d84562df613cc6c0c8200287ae870c2&,assets/media/by-guide/adventure/forest_of_circulation/001_video_1268278189826773074.mp4,001_video_1268278189826773074.mp4
guides/ru/adventure/Guild.md,adventure,guild,1,image,1384563832159993997,https://cdn.discordapp.com/attachments/1384563831610806374/1384563832159993997/image.png?ex=69e2598d&is=69e1080d&hm=57866d7ffc5fda60edbefb8477e0e52ef08d2384a345ee7a9d04c595d716da32&,assets/media/by-guide/adventure/guild/001_image_1384563832159993997.png,001_image_1384563832159993997.png
guides/ru/adventure/Guild.md,adventure,guild,2,image,1384563911671677100,https://cdn.discordapp.com/attachments/1384563831610806374/1384563911671677100/image.png?ex=69e259a0&is=69e10820&hm=89ec9ae15a1f3fc5661506b175522ea072d392cef1e71b2f5cb2d468b39ba236&,assets/media/by-guide/adventure/guild/002_image_1384563911671677100.png,002_image_1384563911671677100.png
guides/ru/adventure/Guild.md,adventure,guild,3,image,1386411690291236966,https://cdn.discordapp.com/attachments/1384563831610806374/1386411690291236966/image.png?ex=69e27b01&is=69e12981&hm=1251caa3e6c1084c90f159d7ff42ef3c0506ca80a406b914e64b0af7e0d675dd&,assets/media/by-guide/adventure/guild/003_image_1386411690291236966.png,003_image_1386411690291236966.png
guides/ru/adventure/Guild.md,adventure,guild,4,image,1400748331029889034,https://cdn.discordapp.com/attachments/1384563831610806374/1400748331029889034/image.png?ex=69e1e70a&is=69e0958a&hm=88e973a8bb3d4cfb4997db7e97a62c264c5a420e2f2ed82d70f10c705c85f970&,assets/media/by-guide/adventure/guild/004_image_1400748331029889034.png,004_image_1400748331029889034.png
guides/ru/adventure/Guild.md,adventure,guild,5,image,1401347429793534095,https://cdn.discordapp.com/attachments/1384563831610806374/1401347429793534095/image.png?ex=69e21abf&is=69e0c93f&hm=179c2786b22a1a1b2d653258ca3d5c3bcb76d17f483a337698282c45330547d7&,assets/media/by-guide/adventure/guild/005_image_1401347429793534095.png,005_image_1401347429793534095.png
guides/ru/adventure/Story.md,adventure,story,1,image,1132868460830015609,https://cdn.discordapp.com/attachments/1125732072456196169/1132868460830015609/image.png?ex=69e249b8&is=69e0f838&hm=8e546eed4fbe1cc505f945a971460642796770ebc977610052068372263c6e5b&,assets/media/by-guide/adventure/story/001_image_1132868460830015609.png,001_image_1132868460830015609.png
guides/ru/adventure/Story.md,adventure,story,2,image,1132868532904923256,https://cdn.discordapp.com/attachments/1125732072456196169/1132868532904923256/image.png?ex=69e249c9&is=69e0f849&hm=3bbf5e631ebdc0b0a28e690279c4e8d8b42034408b363f22f1655c59a5e59e5f&,assets/media/by-guide/adventure/story/002_image_1132868532904923256.png,002_image_1132868532904923256.png
guides/ru/adventure/Story.md,adventure,story,3,image,1132868604111622184,https://cdn.discordapp.com/attachments/1125732072456196169/1132868604111622184/image.png?ex=69e249da&is=69e0f85a&hm=6863376b52f711cb4d3a0400638d7569bffae493f98430e3760928fbbd4c85f2&,assets/media/by-guide/adventure/story/003_image_1132868604111622184.png,003_image_1132868604111622184.png
